,inpatient_beds_used_covid
2020-09-17,0.034568883197818354
2020-09-18,0.034568883197818354
2020-09-19,0.031605836066576784
2020-09-20,0.030618153689496257
2020-09-21,0.04642107172278465
2020-09-22,0.035556565574898884
2020-09-23,0.02864278893533521
2020-09-24,0.035556565574898884
2020-09-25,0.04049497746030151
2020-09-26,0.04543338934570412
2020-09-27,0.04543338934570412
2020-09-28,0.03358120082073783
2020-09-29,0.04543338934570412
2020-09-30,0.05629789549358989
2020-10-01,0.0483964364769457
2020-10-02,0.0444457069686236
2020-10-03,0.050371801231106746
2020-10-04,0.05728557787067042
2020-10-05,0.062223989756073045
2020-10-06,0.07012544877271724
2020-10-07,0.07901459016644195
2020-10-08,0.07308849590395881
2020-10-09,0.07308849590395881
2020-10-10,0.07210081352687829
2020-10-11,0.07210081352687829
2020-10-12,0.06913776639563671
2020-10-13,0.07012544877271724
2020-10-14,0.07407617828103934
2020-10-15,0.07012544877271724
2020-10-16,0.07605154303520038
2020-10-17,0.07506386065811986
2020-10-18,0.07506386065811986
2020-10-19,0.08098995492060301
2020-10-20,0.0888914139372472
2020-10-21,0.0888914139372472
2020-10-22,0.09382982582264983
2020-10-23,0.0928421434455693
2020-10-24,0.11062042623301874
2020-10-25,0.11457115574134084
2020-10-26,0.11555883811842137
2020-10-27,0.11160810861009926
2020-10-28,0.10568201434761612
2020-10-29,0.11358347336426032
2020-10-30,0.1254356618892266
2020-10-31,0.11753420287258241
2020-11-01,0.12049725000382398
2020-11-02,0.141238579922515
2020-11-03,0.13827553279127341
2020-11-04,0.15210308607040077
2020-11-05,0.15901686270996443
2020-11-06,0.16395527459536707
2020-11-07,0.16593063934952812
2020-11-08,0.1817335573828165
2020-11-09,0.18864733402238018
2020-11-10,0.18864733402238018
2020-11-11,0.1985241577931854
2020-11-12,0.18864733402238018
2020-11-13,0.19951184017026594
2020-11-14,0.2054379344327491
2020-11-15,0.19161038115362175
2020-11-16,0.18667196926821913
2020-11-17,0.20741329918691015
2020-11-18,0.22025317008895695
2020-11-19,0.2093886639410712
2020-11-20,0.2291423114826817
2020-11-21,0.23901913525348692
2020-11-22,0.23506840574516483
2020-11-23,0.2261792643514401
2020-11-24,0.23704377049932587
2020-11-25,0.24000681763056744
2020-11-26,0.22815462910560116
2020-11-27,0.22420389959727904
2020-11-28,0.2261792643514401
2020-11-29,0.2419821823847285
2020-11-30,0.2508713237784532
2020-12-01,0.24395754713888954
2020-12-02,0.24395754713888954
2020-12-03,0.2380314528764064
2020-12-04,0.22519158197435957
2020-12-05,0.22321621722019852
2020-12-06,0.21531475820355434
2020-12-07,0.2054379344327491
2020-12-08,0.21235171107231277
2020-12-09,0.20148720492442698
